Name,Origin,Type,Form,Alpha,Beta,HSI,Use,Notes
"Brewer's Gold, UK",United Kingdom,Bittering,Pellet,7.5,3.7,50,Boil,"Brewers Gold is a complex bittering hop that is noted to have a sharp or pungent bittering quality. It also imparts a fruity yet spicy aroma as well as having a black currant characteristic. It is on the low end of the bittering hop scale at 8 to 10% AAU typically. Brewers Gold can be used in a wide range of styles from English Ales to German Lagers and adds a decidely 'European' element to the beer. These make a good partner to noble varieties such as Tettnang and Hallertauer. Used for: English Ale, German Lagers Substitutions: Bullion, Chinook, Galena"
Brooklyn,New Zealand,Bittering,Pellet,18,9,35,Boil,"A high alpha hop with distinctive tropical, grapefruit and passion fruit characters. Developed from Southern Cross. Used for: IPAs Substitutions: N/A"
Bullion,U.S.,Both,Pellet,7.5,4.5,55,Boil,"A major hop variety since the mid-1940s, however, product ceased in 1985 due to super alpha hops with better storage stability. Commonly used in darker beers. Used for: Stouts, ESB, Scotch Ale, IPA, Porter, Heavy German lagers. Aroma: Strong, pungent and bitter in flavor. Intense Black currant aroma. Substitutes: Chinook, Galena, Eroica, Columbus, Northern Brewer (German), Brewer's Gold (German). Storage: Poor (40%-50% AA after 6 months at 20 C) 6.5-9% AA / 3.2-6% Beta"
Bullion,United Kingdom,Bittering,Pellet,8,4.5,50,Boil,"Used in strong dark English ales, some heavy German lagers. Aroma: Strong, pungent and bitter in flavor. Blackcurrant flavor. Substitutes: Chinook, Eroica, Brewer's Gold"
Bullion 10A,U.S.,Bittering,Pellet,10.5,4.5,30,Boil,"Though technically still Bullion, Bullion 10A is a heat-treated and meristem-tip cultured version of the original English variety. Developed by the USDA and released in 1972, it was retired from production in the US in 1985 along with the original Bullion following the introduction of super-alpha varieties."
CTZ,U.S.,Both,Pellet,16.5,5,30,Boil,"CTZ is a trio blend of similar hops including Columbus, Tomahawk and Zeus. A descendant of Nugget, it is the first super high alpha variety and is primarily used for bittering purposes. Aroma Profile: Citrus, Dank, Earthy, Woody"
CTZ Hop Hash,US,Aroma,Pellet,15,5,15,Boil,"Technically this is lupulin powder similar to Cryo-hops. It is intended for use primarily in the whirlpool, hot steep or for dry hopping. Columbus, Tomahawk and Zeus are collectively called CTZ and are similar in character and often blended. They provide citrus aromas, black peper, licorace and curry notes."
Calicross,New Zealand,Both,Pellet,6.5,5.5,22,Boil,"New Zealand Calicross was developed in the 1960's and largely disappeared in the 1980s. Can still occasionally be found. A cross between Fuggle and Late Cluster. Earthy, fruity flavors with floral aromas. Substitute: Cluster"
Calypso,U.S.,Both,Pellet,13,5.5,15,Boil,"A new, dual-purpose hop from the Hopsteiner breeding program that may establish itself as ""special"". Used for: Ales, Stouts and Barley Wines Aroma: Not as tropical as the name might imply but rich in both stone fruits (pear and peaches, notes of cherry) and citrus. Substitutions: Unknown Storage: Good (65-70% AA after 6 months at 20 C) 12-14% AA / 5-6% Beta"
Canadian Redvine,Canada,Aroma,Pellet,5,5.5,20,Boil,"From Canada and very disease resistant. It has a very high cohumulone content and low alpha making it a good late hop candidate. Aroma and flavor of berries, pine, cherry and grapefruit peel."
Cascade,U.S.,Both,Pellet,5.5,6,50,Boil,"A hops with Northern Brewers Heritage Used for: American ales and lagers Aroma: Strong spicy, floral, grapefruit character Substitutes: Centennial Examples: Sierra Nevada Pale Ale, Anchor Liberty Ale"
Cascade Hop Extract,US,Both,CO2Extract,38.8,2,100,Boil,"CO2 Hop Extract -sold in both 0.5kg (150 gma), 1 kg (300 gma), 2 kg, 3kg and 4kg cans. Made from Cascade hops and only for use in the boil. Measure out liquid in ml for use. Check alpha percentage listed here against the can as alpha may vary by season and manufacturer."
"Cascade, Argentina",Argentina,Aroma,Pellet,3.2,6.25,30,Boil,"Unlike the American Cascade, the Argentine Cascade has a mellow character with notes of lemongrass, pepper and spice. It is not considered interchangeable with the American Cascade, which has a very different profile. It is a fine aroma and finishing hop, excellent for wheat beers, blondes and has been suggested as being especially suited to lightly bittering a cream ale. Argentinian Cascade is often compared to Hallertau or Tettnanger."
"Cascade, New Zealand",New Zealand,Both,Pellet,7,5.2,35,Boil,"Flowers, citrus & spice with grapefruit the noticeable fragrance quite often. This medium aroma balances the low bittering value. Very popular hop among craft brewers. Used for: Pale Ales, IPAs, Porters Substitutions: Centennial, Amarillo"
Cashmere,U.S.,Both,Pellet,8.5,6.7,25,Boil,"Daughter of Cascade. Mild herbal aroma with strong melon, lemon, and slightly spicy notes. Used for: American Pale Ale, IPA Substitutions: N/A"
Cekin,Slovenia,Aroma,Pellet,7,2.5,21,Boil,Developed at the Hop Research Inst in Slovnia in the 1980's. A cross between Aurora and a Yugoslav male. Not grown in large quantities. Pleasing and continental aroma similar to Savinjski Golding. Substitute: Savinjski Golding or Aurora
Celeia,Slovenia,Both,Pellet,4.5,2.6,23,Boil,"A dual purpose hops that is a hybrid between Savinjski Golding, Aurora and Slovenian wild hops. Similar in aroma to Saaz. Used for: Light lagers, Pilsners, Belgian ales. Substitutes: Saaz, Styrian Goldings"
Centennial,U.S.,Bittering,Pellet,10,4,40,Boil,"Used for: General purpose bittering, aroma in American ales and Wheats Aroma: Floral, citrus aroma, spicy, clean bittering flavor Substitutes: Galena, Eroica, Nugget, Bullion Examples: Sierra Nevada Celebration Ale, Sierra Nevada Bigfoot"
Centennial Hop Extract,US,Both,CO2Extract,48.8,2,100,Boil,"CO2 Hop Extract -sold in both 0.5kg (150 gma), 1 kg (300 gma), 2 kg, 3kg and 4kg cans. Extracted from Centennial hops and only for use in the boil. Measure out liquid in ml for use. Check alpha percentage listed here against the can as alpha may vary by season and manufacturer."
Centennial Hop Hash,US,Aroma,Pellet,32,5,15,Boil,"Technically this is lupulin powder similar to Cryo-hops. It is intended for use primarily in the whirlpool, hot steep or for dry hopping. Columbus, Tomahawk and Zeus are collectively called CTZ and are similar in character and often blended. They provide citrus aromas, black peper, licorace and curry notes."
Challenger,United Kingdom,Aroma,Pellet,7.5,4,25,Boil,"Variant of Northern Brewers heritage Used for: Both aroma and bittering for ales and lagers Aroma: Fruity in flavor, spicy aroma, blends well Substitutes: N/A"
Chelan,U.S.,Bittering,Pellet,13.25,9.25,20,Boil,High alpha variety from the Haas breeding program released in 2004. It is a variant of Galena and very similar in profile to Galena. Aroma: Pleasant citrus notes Substitutes: Galena
Chinook,U.S.,Bittering,Pellet,13,3.6,42,Boil,"Strong versatile bittering hop Used for: Ales, porters, stouts Aroma: Heavy and spicy aroma Substitutes: Galena, Eroica, Nugget, Bullion Examples: Sierra Nevada Stout, Sierra Nevada Celebration Ale"
Chinook Hop Extract,US,Both,CO2Extract,58.8,2,100,Boil,"CO2 Hop Extract -sold in both 0.5kg (150 gma), 1 kg (300 gma), 2 kg, 3kg and 4kg cans. Extracted from Centennial hops and only for use in the boil. Measure out liquid in ml for use. Check alpha percentage listed here against the can as alpha may vary by season and manufacturer."
"Chinook, New Zealand",New Zealand,Both,Pellet,12.1,7.6,20,Boil,"Piney with exotic spice and infused with grapefruit. This alluring aroma and a high bittering value has gained this hop full respect from craft & major brewers. Used for: American Pale Ale, IPA, Porter, Stout Substitutions: Southern Cross, Sticklebract, Nugget, Northern Brewer"
Cicero,Slovenia,Both,Pellet,6.5,2.4,20,Boil,"Also known as HBC 394. Sister to Cekin, Cicero is a dual use hop with a Styrian-type aroma bred from Aurora, a Yugoslav tetraploid male and a USDA tetraploid male. Developed in Slovenia in the 1980’s, Cicero possesses very high vigor and yield potential in home region but has not tested well in the US."
Citiva (Sitiva),United States,Aroma,Pellet,7.4,4.4,30,Boil,"Added to the BSG Hop Solutions portfolio in 2020, Sitiva was developed through multiple rounds of brewing trials at the Rahr Technical Center pilot brewery. It is a blend formulated specifically for use in hazy IPA and other hop-forward beers. Citiva hops are known for their strong expression of ripe stone fruit, sweet floral and soft peach flavors, and aromas, as well as tropical fruit and lime character. They are best used for aroma additions, whirlpooling, and dry hop additions in brewing. Flavor/Aroma: Sitiva has ripe stone fruit, sweet floral, and soft peach flavors and aromas, as well as tropical fruit and lime character."
Citra,U.S.,Both,Pellet,12,4,25,Boil,Special aroma hops released in 2007. Imparts high alpha/oil content but low cohumulone. Aroma: Adds interesting citrus and tropical fruit character to the beer. Substitutes: Unknown
Citra Hop Extract,US,Both,CO2Extract,50.29,2,100,Boil,"CO2 Hop Extract -sold in both 0.5kg (150 gma), 1 kg (300 gma), 2 kg, 3kg and 4kg cans. Extracted from Citra hops and only for use in the boil. Measure out liquid in ml for use. Check alpha percentage listed here against the can as alpha may vary by season and manufacturer."
