Name,Origin,Type,Form,Alpha,Beta,HSI,Use,Notes
Most,Czechia,Aroma,Pellet,8.5,5.75,20,Boil,"Most™ hops are a brand new variety that are the collaborative effort of Charles Faram in the UK and farmers in the Czech Republic. Most hops are named after the Czechian city Most in the northwest of the country, which also means bridge. Most hops are seen as a bridge between the UK and EU after the UK departed the union. Most hops are an extremely intense aroma variety that is big with tropical fruits, strawberries, and ruby red grapefruit. Most fits in most fruit-forward styles, but has also performed well in lagers and dry-hopped pilsners. Most Hops Substitutions: 1. BRU-1 hops 2. Belma hops Most Hops Details: Origin: Czech Republic Pedigree: Developed by Charles Faram & Co Ltd by farmers in Czechia. Aromas: Berry & Currant, Tropical Fruit, Citrus Intensity: 8/10 Alpha Acids* 7.0 - 10.0 % Beta Acids 5.0 - 6.5 % Cohumulone 25 - 32 % of alpha acids Total Oil 1.0 - 1.5 ml/100g"
Motueka,New Zealand,Aroma,Pellet,7,5.25,30,Boil,"Flexible hop developed from Saaz. Has noble character and aroma, lemon and lime tones, balanced bitterness, and unique flavor. Used for: Lagers, Belgian Ales and Bohemian Pilsner. Substitutions: Saaz, Sterling"
Moutere,New Zealand,Bittering,Pellet,18,9,35,Boil,"Formerly called 'Brooklyn'. A high alpha hop with distinctive tropical, grapefruit and passion fruit characters. Developed from Southern Cross. Used for: IPAs Substitutions: N/A"
Mt. Hood,U.S.,Aroma,Pellet,6,6.3,40,Boil,"Used for: European Lagers, finishing Aroma: Mild with a clean aroma, neutral flavor. Somewhat pungent. Substitutes: Hallertauer, Liberty, Crystal"
Mt. Rainier,U.S.,Both,Pellet,7,2,0,Boil,"Complex parentage, including Hallertau, Galena, and Fuggle. HopUnion has stated this hop was only bred thru 2010. Used for: Lager Aroma: Excellent floral and noble aromas, with citrus and licorice tones. Substitutions: Hallertau, Fuggle Storage: Unknown 5-8.1% AA / 5-7% Beta"
Multihead,US,Both,Pellet,4.5,7,15,Boil,"MultiHead is a neomexicanus breed native to New Mexico and is so named because of its tendency to produce dual cones. It is a unique hop in the industry and in brewing features a heady, floral aroma and some citrus elements."
Mystic,United Kingdom,Aroma,Pellet,5.5,3,30,Boil,"Mystic® Hops are a newer hop variety to be released by the Britain-based Charles Faram Hop Development Programme. Mystic® is a lower alpha acid variety that provides clean bittering in lighter styles, but is mostly used as an aroma variety because of its fruit-forward character. Mystic® is not as big and bold as fellow UK variety Harlequin®, but Mystic® offers a unique combination of black currant, citrus, and passion fruit. Mystic® is the daughter of Jester® and was selected primarily for its amazing aroma, but also because of disease resistance and yield potential. Because Mystic® is such a new variety we are looking to see what you think of it. So be sure to let us know what you brew up with it and how it turns out! Mystic Hop Profile Aroma: Passion fruit, Black currant, Citrus Pedigree: Daughter of Jester® that was selected for its aroma, disease resistance, and yield. So it has a lot going for it. Alpha Acids: 4.0-7.0 % Beta Acids: 2 - 4 % Cohumulone: 30 - 40 % of alpha acids Total Oil: 0.5 - 1.5 ml/100g Myrcene: 30 - 40 % of total oil Humulene: 30 - 40 % of total oil Farnesene: >1 % of total oil Flavor Intensity: 7/10"
Nectaron,New Zealand,Aroma,Pellet,12,8,30,Boil,"A triploid aroma type hop developed in collaboration with New Zealand’s Plant & Food Research. Passionately crafted over 17 years by the hands of New Zealand’s Godfather of Hops – Dr. Ron Beatson. Nectaron® Brand HORT4337 is a full sister to Waimea. Nectaron® provides an intense mix of distinctive pineapple stone fruit citrus that lends itself perfectly to a range of beer styles including NEIPA, IPA, Pale Ales and Lagers. Nectaron is best used late or when dry hopping and has proven itself as an award-winning hop, delivering a consistent dose of high quality tropical hop character every time. Aroma Profile: Citrus, Stone Fruit, Tropical"
Nelson Sauvin,New Zealand,Bittering,Pellet,12,7,20,Boil,"Triploid variety bred from ""Smoothcone"" released in 2000. Oil profile said to taste like ""fresh crushed gooseberries"" similar to Sauvignon Blanc, giving it its name. Very fruity, citrusy - use in moderation. Used for: Pale ale, Super Premiums. Substitutes: None"
Neo1,US,Both,Pellet,8,3.2,15,Boil,Another neomexicanus breed and native of New Mexico. A high percent of limonene and linalool gives this hop a distinctive strong lemon-citrus character. Sister to Amallia.
Newport,U.S.,Bittering,Pellet,13.5,6,40,Boil,"High alpha hops released in 2002 as a potential replacement for Galena. Note that these hops have a large alpha range of 9.8%-17% so check the package! Fairly pungent. Used for: Primarily used for bittering in ales, stouts, barley wine. Substitutes: Galena"
Nobility,U.S.,Both,Pellet,4.4,5.1,30,Boil,"Nobility was developed specifically for lager brewing, with a focus on a balanced noble-style hop character. Primary aromas and flavors of citrus (lemon, orange), lemongrass, green tea, and herbaceous, with a mixture of floral and spice. Nobility Dual-purpose blend for classic lagers from Pils to Bock, as well as hop-forward craft lager styles, Kölsch, Altbier, or any beer that calls for a balanced and refined hop character. Flavor Profile: Citrus, Herbal, Green Tea Beer Style Recommendations: Pilsners, Hoppy Lagers IPL, Kolsch, Altbier."
Northdown,United Kingdom,Both,Pellet,8.5,5.5,15,Boil,"Variation of Northern Brewers hops grown in England. Used for: Bittering in English ales Aroma: Good bittering, flavor and aroma Substitutes: Northern Brewer"
Northern Brewer,Germany,Both,Pellet,8.5,4,35,Boil,"Also called Hallertauer Northern Brewers Used for: Bittering and finishing both ales and lagers of all kinds Aroma: Fine, dry, clean bittering hop. Unique flavor. Substitutes: Hallertauer Mittelfrueh, Hallertauer Examples: Anchor Steam, Old Peculiar,"
Nugget,U.S.,Bittering,Pellet,13,5,24,Boil,"Used for: Bittering hops for ales Aroma: Strong bittering, heavy, herbal aroma, spicy Substitutes: Chinook Examples: Sierra Nevada Porter"
Old Mission,U.S.,Both,Pellet,4.3,3.7,30,Boil,"Old Mission was created as a ""field grade"" hop by Great Lake Hops (GLH). US hops begin to be harvested in mid-to-late August for most aroma varieties. Aroma/Flavor: Citrus, Pine, Spicy, Tart, Herbal, Black pepper"
Olympic,U.S.,Bittering,Pellet,11.5,5.5,30,Boil,"Olympic is a high alpha hops released by Washington Agricultural Expt Station in 1983. Heritage is from Brewers Gold and Fuggles. Aroma: Spicy, citrus aroma Substitutes: Brewers Gold"
Omega,United Kingdom,Aroma,Pellet,9.5,3.5,30,Boil,"Omega, despite its pleasant European aroma, decent alpha, storage stability and wilt resistance, exhibited a yield far too low to gain any major foothold commercially. Omega was Dr. R. A. Neve’s swansong before leaving his post in 1984 as head of the Hop Section at the esteemed English horticultural institution, Wye College."
Opal,Germany,Aroma,Pellet,6.5,4.5,25,Boil,New variety from the hop research center in Hull. Used for: Aroma hops in continental styles Aroma: High aroma hops with hints of spice and subtle citrus. Substitutes: Unknown
Orbit,New Zealand,Both,Pellet,5,5,15,Boil,"Selected from a NZ hop breeding program, available in limited quantities. Resinous, piney, aromatic and some notes of tropical fruit. Some variation from year to year due to varieties selected."
Orion,Germany,Both,Pellet,7.25,3.7,17,Boil,"Cross between Perle and an experimental variety Used for: Bittering and aroma Aroma: Pleasant, hoppy Substitutes: Perle"
Outeniqua,South Africa,Bittering,Pellet,12.75,4.7,15,Boil,"A high alpha bittering hop from South Africa. Primarily a local hop, it features a well balanced oil profile and hoppy, punchy aroma. Mother of the high alpha variety Southern Star."
Pacific Crest Blend,U.S.,Aroma,Pellet,3.9,3,30,Boil,"This blend connects the classic noble varieties with an American influence. Bringing together grassy, earthy and tobacco characteristics with mild floral, spicy, herbal and pine. Pacific Crest works well in Pilsner, Lager and Pale Ales. From Yakima Chief Hops. Aroma Profile: Citrus, Earthy, Grassy, Herbal, Spicy"
Pacific Gem,New Zealand,Bittering,Pellet,15,8.2,10,Boil,High alpha smoothcone cross developed at DSIR in 1987. Used for: Bittering - produces a cask-oak woody flavor. Aroma: Pleasant - some blackberry aroma. Substitutes: Bullion
Pacific Hallertau (aka Pacifica),New Zealand,Aroma,Pellet,5.5,5.8,25,Boil,"Hallertau variant which produces a typical Mittelfruh aroma combined with smooth bouquet and mild buttery flavor notes; typical of the flavor achieved in classic European lagers Used for: Australian Ales, European lager Aroma: Clean, floral with slight cinnamon-like spiciness. Orange marmalade and citrus aroma notes when used in late addition. Soft finish if used in bittering. Substitutes: Chinook, Hallertauer Mittelfruh, Liberty, Mt. Hood Storage: Good/Very Good 5-6% AA / 5.5-6.2% Beta"
Pacific Jade,New Zealand,Bittering,Pellet,13,7.5,15,Boil,"High alpha bittering hops that delivers a bold herbal infusion of fresh citrus with some black pepper flavor. Citrus aroma and flavor tempers ales and may be used as a finishing hops. Used for: Ales, lagers Substitutes: N/A"
Pacific Sunrise,New Zealand,Bittering,Pellet,13,6.2,35,Boil,"A bittering hop released by Hort Research in 2000. limited production. A pleasant piney aroma. Cross between a California Late Cluster, Fuggle and New Zealand male plant."
Pacifica,New Zealand,Aroma,Pellet,5.5,6,20,Boil,"Aroma hop developed from Hallertauer Mittelfrueh in New Zealand (1994). Blend of old and new world taste including Orange marmalade and citrus aroma notes when used in late addition. Soft finish if used in bittering. Substitutes: Chinook, Hallertauer Mittelfrueh"
Palisade,U.S.,Both,Pellet,7.5,7,15,Boil,"Also called YCR-4, Palisade is an aroma variety bread by Yakima Chief Ranches. It has both aromatic and moderate bittering properties. Substitutes: Willamette"
Paradigm,U.S.,Aroma,Pellet,9.3,4.8,30,Boil,"​Paradigm™ is the proud beginning of an entire movement, an industry shift that may very well revitalize what it means to commercially grow hops for Midwest Hop growers. Licensed by Great Lakes Hops. Aroma: Stone fruit, Tropical, Spice, Wild Grape, Melon, Candy, Bright, Herbal"
Patagonia Red,Argentina,Aroma,Pellet,11.5,2,30,Boil,"Patagonia Red is grown in Argentina's Patagonia region and the hop cones take on a distinctive red hue. Flavor/Aroma: Spicy, Candy, Strawberry, Sweet, Tropical Fruit, Herbal"
Pekko,U.S.,Both,Pellet,15,2,15,Boil,"Notes: Any style that coud incorporate Saaz could use Pekko. Aroma: Floral, mint, herbal, citrus"
Perle,Germany,Aroma,Pellet,8,4.75,25,Boil,"Perle has a spciy character, and the aroma is moderate and pleasing. Commonly compared to Hallertau Mittlefruh. Used for: German ales, lagers, Plisner, Alt, Maisbier, Dunkle, Kolsch Aroma: Delicate floral and fruity tones Substitutes: Northern Brewer, Perle (U.S.), Hallertau Mittelfruh, Hallertau Aroma Storage: Good 6-10% AA / 2.5-5% Beta"
"Perle, U.S.",U.S.,Both,Pellet,8.25,4.5,17.5,Boil,"Bred from English Northern Brewer. Slightly spicy with herbal and floral characteristics. Used for: Stout Substitutions: Northern Brewer, German Northern Brewer, German Perle"
Petoskey,U.S.,Both,Pellet,12.1,6.2,30,Boil,"Petoskey™ is possibly an old lost variety that is currently grown by Great Lakes Hops. This is a field grade hop.Petoskey hops have Cluster heritage, but their cones are not shaped like typical Clusters. Aroma: Floral, Pungent, Pineapple"
Phoenix,United Kingdom,Bittering,Pellet,8,4.6,10,Boil,"Seedling derived from Wye Yoeman. Used for: Ales Aroma: Similar to Wye Challenger hops Substitutes: Challenger, East Kent Golding, Northdown"
Pilgrim,United Kingdom,Bittering,Pellet,11.5,4.7,18,Boil,New variety from Wye College in 2001. High Selinene content. Used for: Bittering Substitutes: N/A
Pilot,United Kingdom,Bittering,Pellet,11.5,3,25,Boil,A very new hops introduced in 2002 by Charles Faram & Co Ltd. Mild herbal flavor with lemon hints and fresh mowed grass flavor. Used for: Primarily for bittering in APAs. Rare.
Pink Boots Blend,U.S.,Aroma,Pellet,12.5,6.1,30,Boil,"Yakima Chief Hops is proud to partner with the Pink Boots Society for a seventh year on this special seasonal hop blend. We are passionate about promoting diversity in both the hop and beer industries, and hope that our brewing customers will take this opportunity to do the same. We encourage you to get creative and create a tasty brew in celebration of International Women’s Day, and hope this will be a brewing industry tradition for years to come. The 7th Annual blend consists of Ahtanum®, El Dorado®, HBC 638 and Idaho 7®. $3 per pound sold will be donated to Pink Boots Society in support of its mission to provide educational opportunities to women and non-binary individuals in the fermented and alcoholic beverage industry. 2023 - 7th Annual - Ahtanum®, El Dorado®, HBC 638, Idaho 7® 2022 - 6th Annual - Loral®, Ekuanot® , HBC 586 2021 - 5th Annual - HBC 630, Idaho Gem®, Loral®, Talus®, Triumph 2020 - 4th Annual - Ahtanum®, Cashmere, Citra®, Loral®, Sabro® Aroma Profile: Berry, Citrus, Stone Fruit, Tropical"
Pioneer,United Kingdom,Both,Pellet,9,3.75,17,Boil,"Bred from Wye Omega at Wye College in the UK Used for: ESB, English Ales Aroma: Mild English hop aroma Substitutes: East Kent Goldings"
Polaris,Germany,Bittering,Pellet,21,6,15,Boil,"Very high alpha and stunninly high oil content. Its aroma variously described as ""ice candy"", eucalyptus, peppermint, and citrus. A variety with bold taste and differentiating flavor. Used for: Lagers, Ales, Pale Ales, IPA Aroma: Intense floral and pleasant mint tones Substitutes: Unknown Storage: Unknown 19-23% AA / 5-7% Beta"
Premiant,Czech Republic,Both,Pellet,7.5,4.5,25,Boil,"A cross between Czech aroma and bittering varieties. Dual purpose though its aroma is not as strong as some other Czech hops. Use in beers where a moderate hoppy aroma is needed. Used for: Moderate ales, lagers Substitutes: Saaz"
Pride of Ringwood,Australia,Bittering,Pellet,9,5.75,45,Boil,"Used for: General purpose bittering hops for Australian beers Aroma: Moderate citric aroma, clean bittering flavor Substitutes: Cluster, Galena"
Progress,United Kingdom,Aroma,Pellet,6.25,2.1,15,Boil,"Used for: Bittering and aroma in English Ales Aroma: Similar to Fuggles, aromatic, slightly sweet Substitutes: Fuggles"
ProvOAK,U.S.,Aroma,Pellet,4.5,2,25,Boil,"Provoak is a mixture of hops and wood that comes in pellet form. It’s made from a proprietary blend of hops and U.S. white oak that has been inspected to the highest food-quality standards. Basically, it’s processed like a normal T-90 or T-45 hop pellet and has similar properties. It’s used for both late hopping and dry-hopping in the same way you would use standard hop pellets."
Puławski,Poland,Aroma,Pellet,6.6,2.8,30,Boil,"Introducing Puławski, a captivating newcomer from the IUNG Institute, poised to redefine the landscape of hop-driven aromas. This pungent and complex aroma hop unveils a symphony of scents, featuring the enticing notes of white grapes, a touch of spices, the warmth of clove, and the succulence of ripe papaya. Puławski stands as another beacon in the realm of promising new wave aroma hops. Flavor: Puławski dazzles the palate with a flavor profile that marries pungency and complexity. The dominant notes of white grapes provide a luscious sweetness, while a medley of spices adds layers of intrigue. Clove adds a touch of warmth, and the ripe papaya imparts a tropical twist, creating a sensory experience that transcends expectations. Aroma: Immerse yourself in the rich tapestry of Puławski’s aroma. The fragrant white grapes take center stage, accompanied by a dance of spices that beckon the senses. The subtle warmth of clove and the exotic allure of ripe papaya add nuance, making Puławski a true maestro in the symphony of hop aromas."
PŁ-01,Poland,Aroma,Pellet,5,6.8,30,Boil,"Embark on a brewing revolution with PŁ-01 – an avant-garde creation from PolishHops that has taken the market by storm. Tailored for the new wave of beer styles, PŁ-01 unveils a symphony of aromas and flavors that redefine the brewing experience. Flavor: PŁ-01 stands as a testament to innovation, boasting a perfect balance of alpha acids at 5%. Dive into a world where lychee, petroleum, pomelo, grapefruit, mandarin, and citrus zest converge to create a flavor profile that transcends tradition. PŁ-01 is your gateway to crafting beers that push the boundaries of taste. Aroma: The aroma of PŁ-01 is a mesmerizing blend of lychee’s sweetness, the intriguing hint of petroleum, and the bright notes of pomelo, grapefruit, mandarin, and citrus zest. This unique combination makes PŁ-01 a sensory journey, inviting brewers to explore uncharted territories of aroma."
Rakau (Alpharoma),New Zealand,Both,Pellet,10.5,5.2,20,Boil,"Previously known as Alpharoma. Suited for new world styles where brash fruit character and big but well constructed bitterness is desired. Has been compared to Nelson Sauvin as a ""flavor hop"". Used for: Pale Ale, IPA, Lager Aroma: Tropical fruit, passion fruit, apricot/peach Substitutions: Amarillo, Summit Storage: Good 10-11% AA / 4.6-6% Beta"
Relax,Germany,Aroma,Pellet,0.25,13.2,15,Boil,"From Barth-Haas group - originally bred for tea and not beer. Only 0.25% alpha acid and a huge beta acid punch and high oil content. Use in whirlpool or dry hop for aroma oils. Aromas of alpine meadows, lemongrass, hibiscus, cornflower and honeydew melons."
Riwaka,New Zealand,Aroma,Pellet,5.25,4.5,15,Boil,"Formerly called B-Saaz, this was developed from old line Saazer hops in New Zealand. Used for: New world pale ale, regional pilsners Aroma: Strong, hoppy. Some grapefruit and citrus character."
Rubin,Czech Republic,Aroma,Pellet,12,5,30,Boil,Rubin is a bitter variety but it is genetically similar to old middle European aroma hops. The Saaz variety evidently influenced its genome. It has fine bitterness with longer dying away in comparison to Saaz.
SAB Blend,South Africa,Both,Pellet,12.4,2,30,Boil,"The SAB Blend is a unique hop blend originating from South Africa, designed specifically for dual-purpose use in brewing. This blend is a combination of three distinct hops: Southern Promise at 20%, Southern Star making up the majority at 70%, and Southern Dawn at 10%. While specific flavor profiles for the SAB Blend as a whole are not widely documented, each of its constituent hops brings its own characteristics to the table. Southern Promise is known for its mild and clean bitterness, while Southern Star offers a balanced profile with some berry and pine notes. Southern Dawn, although present in a smaller percentage, can impart a subtle earthiness to the brew."
Saaz,U.S.,Aroma,Pellet,3.75,3.75,50,Boil,"This traditional variety from the Czech Republic is grown on a limited basis in the U.S. A classic noble aroma that is famously used in Pilsners. Used for: Bohemian-style beers, Continental lagers, Wheats, Pilsener lagers, Ales, Pilsners Aroma: Seasoned herbal character Substitiutions: Czech Saaz, Polish Lublin, Sterling Storage: Poor 2-6% AA / 3-4.5% Beta"
Saaz U.S.,U.S.,Both,Pellet,4,5,25,Boil,"Saaz hops are the famous landrace variety from the Czechia region, but this is specifically US Saaz, grown by our friends at Virgil Gamache Farms in Toppenish, WA. US Saaz caries some of the same floral and spicy elements as Czech Saaz, but this American-grown lot presents with brighter citrus and a hint of cherry. US Saaz hops work well in classic European styles and lagers, but also fits perfectly in new twists on those styles. Aroma: Classic noble aromas. Floral, citrus, and spice. Typical Analytical Range Alpha: 3.0-5.0% Beta: 4.0-6.0% Total Oil: 0.3-1.0 ml/100g US SAAZ HOP SUBSTITUTIONS US Saaz is the obvious choice to replace the scarce Czech grown Saaz. US Saaz hops carry similar characteristics and flavor profiles as East Kent Golding, US Golding, and Hallertau Mittlefrüh making these hops an excellent substitution in your next light lager."
San Juan Ruby Red,U.S.,Bittering,Pellet,7,4,30,Boil,"San Juan Ruby Red hops are a captivating find for any homebrewer looking to infuse their beer with a unique American twist. Originating from the rugged terrain of the San Juan Mountains in Colorado, these hops were discovered growing wild, a testament to their hardy nature and the serendipity of open pollination. As an aroma hop, San Juan Ruby Red is prized for its contribution to the olfactory experience of beer brewing. It imparts a fruity and slightly sweet aroma that can elevate the sensory profile of a brew. The noble hop characteristics it possesses suggest a refined bitterness and a delicate, herbaceous quality, making it an excellent choice for brewers aiming to craft beers with a sophisticated bouquet and a balanced flavor profile. Its use is particularly well-suited to styles that benefit from a subtle hop presence and a nuanced aroma, such as pale ales, IPAs, or even lagers that call for a touch of fruitiness without overpowering the palate. Flavor/Aroma: Fruity, Herbal, Noble, Sweet, Delicate"
Santiam,U.S.,Aroma,Pellet,6,7,35,Boil,"Triploid aroma selection derived from Tettnang and Hallertauer (1997) Used for: Lager, U.S. Pale Ale, Pilsner Substitutes: German Tettnang, Spalt, Spalt Select"
Saphir,Germany,Aroma,Pellet,3.5,4.6,45,Boil,"A new noble breed as an alternative to Hallertau Mittelfrueh in an attempt to make it more disease resistant and commercially viable. Similar in character to Hallertau varieties. Used for: Pilsners, lagers, Belgian whites. Substitutes: Hallertau Mittelfrueh"
Sasquatch,Canada,Both,Pellet,7.5,8.5,30,Boil,"Sasquatch® is a wild hop variety that was discovered in the mountain region of British Columbia. It is grown exclusively by our Canadian sister company Hops Connect at two farms: Leamington, Ontario and Chilliwack, BC. Sasquatch is the first Canadian hop variety that is proprietary and patented. Sasquatch offers subtle and delicate flavors of citrus and sweet fruit as well as a soothing blend of hay, sweet cream, and rose. Profile: Floral, Lemon, Tangerine"
Satus,U.S.,Bittering,Pellet,13.25,8.75,33,Boil,High alpha bittering hops from Yakima that is similar to Galena. Of recent origin. Substitutes: Galena
Savinjski Golding,Slovenia,Aroma,Pellet,3.25,2.5,25,Boil,"Originating from UK Fuggle, Styrian Savinjski Golding is a traditional Slovenian variety with pleasant bittering and noble aroma characteristics. Aroma Profile: Citrus, Earthy, Floral, Spicy"
Select,Germany,Both,Pellet,5,3.75,30,Boil,"An aroma hop known for its spicy flavor profile that adds complex depth of flavor to any beer. Aroma: Spicy - floral, grassy, herbal, resinous, cucumber, lemon, citrusy, fruity, caramel, woody, curant Alpha Acid: 3.0 - 6.5% Beta Acid: 2.5 - 5.0% Total Oil: 0.5 - 0.9 ml/100g"
Select Spalt,Germany,Aroma,Pellet,4.75,3.5,17,Boil,"Bred from Hallertauer Mittelfrueh and Spalt in Germany. Spalt character. Used for: Lager, Pilsner, Noble aroma hop substitute Aroma: Very fine, spalt aroma Substitutes: Spalter, Saaz, Tettnang"
Sequoia,U.S.,Aroma,Pellet,10.5,4,30,Boil,"HS Sequoia® is a hop blend from the BSG Hop Solutions program, formerly known as HS-1228, available exclusively from BSG. Its sensory profile is a mix of tropical fruit and classic West Coast hop character. HS Sequoia® is designed as a late kettle or dry hop for classic West Coast-inspired IPAs showcasing notes of tropical fruit, citrus, and pine. Its strong tropical fruit expression also makes it well-suited to hazy or juicy IPA, as well as other hop-forward styles. Aroma/Flavor: tropical fruit (mango, pineapple) with citrus and pine."
Serebrianka (Silver Hops),Russia,Aroma,Pellet,3.4,3,46,Boil,"A Russian aroma hop that is actually a parent of Cascade. Not widely grown in the US, but still available in some areas. Hints of black tea, herbs, tobacco with high humulene and fanesene content that contributes to pleasant continental aroma and taste."
Shinshuwase,Japan,Aroma,Pellet,6.2,5,38,Boil,"Grown exclusively in Japan, Shinshuwase is a high yielding aroma hop. It dates back to the early 1900’s, possibly earlier. While it still exists, it has largely been replaced by Kirin II, Toyomidori, Kitamidori and Eastern Gold as a commercial crop. A cross between Saaz and open pollinated White Vine, Shinshuwase was originally used as a bittering hop, but after the introduction of super alpha varieties, it is now considered far more useful as an aroma hop. Shiga Kogen Beer currently uses it in that capacity for their Draft Pale Ale and Miyama Blonde and describes its aroma as lemon-centric."
Simcoe,U.S.,Bittering,Pellet,13,4.5,18,Boil,High alpha bittering hops with good aroma characteristics. Used for: IPAs Aroma: Citrus and pine-like aroma Substitutes: N/A
Sladek,Czech Republic,Aroma,Pellet,5,7.5,25,Boil,"Hybrid variety of Saaz origin with noble hoppy taste and aroma. Generally recommended for middle-hopping about 20 min before end of boil. Not a replacement for Saaz, but complimentary in Lagers. Used for: Lager Substitutes: Saaz"
Smaragd,Germany,Both,Pellet,5,4.5,35,Boil,"Smaragd is another interesting hop to come out of the Hop Research Institute in Hüll, Germany. Bred with the purpose of creating a more disease resistant alternative to Hallertau Mittelfrüh, it was released for large-scale production in 2007. Meaning ‘emerald’ in German, Smaragd is a low acid, low cohumulone aroma hop with an interesting oil balance. Myrcene and farnesene make up the majority of its oil composition. Its aroma is predominantly fruity but with some floral elements as well. Its flavor profile has been described as spicy. Daughter of Hallertau Gold, Smaragd is a wonderful dual-purpose hop. Aroma: Predominantly fruity aroma with bold floral notes, flavors of earth and spice"
Smaragd (Emerald),Germany,Bittering,Pellet,5,4.5,35,Boil,"Perviously known as Emerald. A fine aroma variety with high bittering value. Used for: Alt, Kolsch, or blond ale. Aroma: Fine aroma, floral, fruity, spicy Substitutions: Unknown Storage: Fair 4-6% AA / 3.5-5.5% Beta"
Sonnet Golding,U.S.,Aroma,Pellet,4.8,2,15,Boil,"Sonnet is a new hop variety bred from a Saaz variant that exhibited Goldings-like characteristics. It's used for aroma due to its low alpha acid content, and offers lots of floral notes. Used for: English Ales, Belgian Style Ales Substitutions: Saaz,East Kent Golding and Crystal. Storage: Unknown"
Sorachi Ace,Japan,Bittering,Pellet,13,6.5,25,Boil,"Developed by Sapporo Breweries and used in their beers - has a Brewer's gold and Saaz heritage. Works well with Citra and Simcoe. Used for: Saison, IPA, Pale Ale, Wheat, or other beer where lemon/citrus is desirable. Aroma: Striking lemon charachter, a bold hop for bold beers. Substitutes: Admiral, Cascade Storage: Unknown 10-16% AA / 6-7% Beta"
Southern Aroma,South Africa,Aroma,Pellet,5.31,5.59,30,Boil,"The largest commercial brewery in South Africa uses Southern Aroma, a relatively new South African hop varietal. Southern Aroma is daylight hop with a diploid seed derived from a hybrid between Hallertauer Mittelfrueh and Saaz. Note that Motueka is a possible comparable hop. SA Genetic Origin: Saaz & Hallertau Mittelfruher SA Aroma Notes: flowery fields, dried herbs, parsley, grain, straw, sunny hayfield, woody"
Southern Brewer,South Africa,Bittering,Pellet,9,4,15,Boil,"Developed in the early 1970's to grow in South Africa after Golden Cluster was devistated by black root. Primarily a bittering hop, not known for its aroma or unusual flavors. Did not grow as well in limited sunlight but was bread to create Southern Promise."
Southern Cross,New Zealand,Both,Pellet,13,6.2,15,Boil,"Dual purpose with ""European"" flavor - from DSIR in 1994 Used for: European flavor bittering/aroma Aroma: Spicy, lemony, slight pine and wood flavors Substitutes: N/A"
Southern Dawn,South Africa,Both,Pellet,11.7,5.1,15,Boil,"A relatively new South African hop used by some large breweries. Resembles Southern Promise but with a different aroma profile. Has a fruity, spicy aroma and is relatively neutral when bittering."
Southern Passion,South Africa,Both,Pellet,8.5,5,30,Boil,"Southern Passion is a South African hop variety that has its genetic roots in Europe. Southern Passion is the resulting cross of Czech Saaz and German Hallertauer. Both unique and complex, Southern Passion offers ripe tropical fruit flavors like passion fruit, guava, and coconut as well as citrus and red berries. Some brewers describe a sunny floral fragrance that can work well in lagers, wits, and Belgian ales. Alpha Acids: 5 – 12% Beta Acids: 4 – 6% Cohumulone: 16.6 – 20.2% Total Oil (ml/100g): 0.7 – 1.3% Humulene: 17 – 35% Caryophyllene: 8 – 13% Farnesene: 1 – 3% Linalool: <1% Geraniol: 0.5%"
Southern Promise,South Africa,Both,Pellet,10,4,15,Boil,"A high alpha hop bred in South Africa. Created from Southern Brewer and a wild Slovenian male hop, it was bred to grow in limited sunlight. Has a high alpha acid and cohumulone content giving it bright, smooth bittering qualities. Can be dual-use with woody and earthy qualities."
Southern Star,South Africa,Bittering,Pellet,13,5,15,Boil,"A high alpha hop from South Africa released in 2001. Used primarily for bittering but features a spicy, tangy flavor and some aroma."
Southern Sublime,South Africa,Both,Pellet,12,4.9,30,Boil,"Southern Sublime (N1/69) has a Kool-Aid, citrus, mango, juicy fruit, dank, plums scent profile. It also boasts a delicious terroir backdrop and a traditional noble hop flavor."
Southern Tropic,South Africa,Bittering,Pellet,17.5,6.5,30,Boil,"Southern Tropic is a South African high alpha hop variety. Southern Tropic previously went by the breeding number U3/108 and is the offspring of USDA650-09 and XJA2/574. It offers big aromas across a wide spectrum, including guava, mango, and lychee with plenty of pine, resin, and lemongrass. There's even a hint of coconut or bubblegum that offers a unique splash in any style. Southern Tropic hops work well in any fruit-forward IPA or Hazy IPA where you are going after sweet, tropical fruit. Its resinous elements could also work their way into a West Coast IPA or classic American Pale Ale. Southern Tropic Hop Analysis Alpha Acids: 17 – 18% Beta Acids: 6.4 – 6.6% Cohumulone: 26 – 28% Total Oils: 1.3 ml/100g Farnesene: 9 – 10.25% Linalool: 0.1 - 0.4 %"
Sovereign,United Kingdom,Aroma,Pellet,5.5,2.6,15,Boil,"Pleasant but intense fruity flavors with mild floral, grassy, herbal and mint characteristics. Used for: Pale Ale Substitution: Fuggles Storage: Unknown"
Spalt Spalter,Germany,Aroma,Pellet,3,4,65,Boil,"Available only from the Spalt region. fire aroma is unique despite genetic sililarities to Saaz, Tettnanger. Used for: Traditional German beers, Altbiers, Lagers Aroma: Fine/spicy, delicate, herbal, woody, floral Substitutes: Saaz, Tettnanger Storage: Poor 2.5-3.5 AA / 3-5% Beta"
Spalter,Germany,Aroma,Pellet,4.5,4,50,Boil,"Used for: Traditional German bittering and aroma hops, Altbiers, Lagers Aroma: Mild, pleasant, slight spice Substitutes: Saaz, Tettnang Examples: Dusseldorf Altbiers"
